age,time,sex,atmospheric condition,intersection,lighting
20,21,Male,Normal,Out of intersection,Full day
51,15,Male,Light rain,Out of intersection,Full day
40,15,Female,Light rain,Out of intersection,Full day
44,15,Male,Light rain,Out of intersection,Full day
7,15,Male,Light rain,Out of intersection,Full day
54,6,Male,Fog - smoke,Out of intersection,Night with public lighting on
26,6,Female,Fog - smoke,Out of intersection,Night with public lighting on
58,15,Male,Normal,Out of intersection,Full day
50,7,Male,Normal,Out of intersection,Twilight or dawn
46,7,Male,Normal,Out of intersection,Twilight or dawn
18,7,Male,Normal,Out of intersection,Twilight or dawn
30,0,Male,Normal,Out of intersection,Night with public lighting on
23,12,Male,Normal,Out of intersection,Full day
57,12,Male,Normal,Out of intersection,Full day
24,10,Female,Other,Out of intersection,Full day
23,20,Female,Fog - smoke,Out of intersection,Night without public lighting
48,20,Male,Fog - smoke,Out of intersection,Night without public lighting
22,18,Male,Normal,Out of intersection,Full day
21,18,Female,Normal,Out of intersection,Full day
27,18,Male,Normal,Out of intersection,Full day
21,18,Male,Normal,Out of intersection,Full day
27,16,Male,Normal,Out of intersection,Full day
22,6,Male,Light rain,Out of intersection,Night with public lighting on
24,6,Female,Light rain,Out of intersection,Night with public lighting on
22,6,Male,Light rain,Out of intersection,Night with public lighting on
24,21,Male,Normal,Out of intersection,Night without public lighting
49,21,Male,Normal,Out of intersection,Night without public lighting
63,10,Male,Normal,Out of intersection,Full day
71,10,Male,Normal,Out of intersection,Full day
69,10,Female,Normal,Out of intersection,Full day
41,10,Male,Normal,Out of intersection,Full day
57,10,Male,Normal,Out of intersection,Full day
52,15,Male,Heavy rain,Out of intersection,Full day
34,23,Male,Normal,Out of intersection,Night with public lighting on
31,23,Female,Normal,Out of intersection,Night with public lighting on
1,23,Male,Normal,Out of intersection,Night with public lighting on
19,23,Male,Normal,Out of intersection,Night with public lighting on
7,23,Male,Normal,Out of intersection,Night with public lighting on
26,21,Male,Normal,Out of intersection,Night with public lighting on
54,21,Male,Normal,Out of intersection,Night with public lighting on
39,17,Female,Normal,Out of intersection,Full day
6,17,Male,Normal,Out of intersection,Full day
49,2,Male,Normal,Out of intersection,Night without public lighting
20,15,Male,Normal,Intersection in X,Full day
74,15,Male,Normal,Intersection in X,Full day
24,13,Male,Heavy rain,Out of intersection,Full day
55,13,Female,Heavy rain,Out of intersection,Full day
56,11,Male,Normal,Out of intersection,Full day
25,17,Female,Normal,Out of intersection,Full day
46,17,Male,Normal,Out of intersection,Full day
25,21,Male,Normal,Out of intersection,Full day
36,21,Male,Normal,Out of intersection,Full day
